,type,id,name,geometry
4,station,8101640,Traiskirchen Aspangbahn,POINT (16.303493 48.017957)
5,station,8101106,Kleinzell im Mühlkreis,POINT (14.032054 48.458195)
6,station,8100027,Payerbach-Reichenau,POINT (15.863066 47.696072)
7,station,8101185,Lungitz/Gusen,POINT (14.47835 48.288749)
8,station,8101394,Piesting,POINT (16.124877 47.874813)
9,station,8101745,Waldegg/Piesting,POINT (16.058761 47.869006)
10,station,8101796,Wöllersdorf/Piesting,POINT (16.178507 47.861284)
12,station,8100293,Korneuburg,POINT (16.328932 48.342935)
13,station,8100144,Oberdrauburg,POINT (12.973771 46.746442)
14,station,8101433,Rennweg,POINT (16.386104 48.195279)
17,station,8100948,Hart im Innkreis,POINT (13.415465 48.315914)
18,station,8101165,Leonding,POINT (14.253943 48.274015)
19,station,8100225,Ebenfurth,POINT (16.361941 47.877645)
20,station,8100705,Brunn/Pitten,POINT (16.18844 47.722563)
21,station,8102062,Straßwalchen West,POINT (13.245381 47.97667)
22,station,8105979,Villach Landskron,POINT (13.875758 46.630176)
27,station,8100169,Kremsmünster,POINT (14.140302 48.053078)
28,station,8100053,Fieberbrunn,POINT (12.52894 47.491136)
30,station,8100122,Dornbirn,POINT (9.738805 47.417694)
31,station,8100182,Grafendorf bei Hartberg,POINT (16.003667 47.346382)
32,station,8100505,Grafendorf Ober,POINT (15.539913 48.152094)
33,station,8100851,Gleißenfeld,POINT (16.12921 47.677185)
35,station,8101457,Rietz in Tirol,POINT (11.023813 47.291926)
36,station,8100634,Wien Atzgersdorf,POINT (16.288508 48.146953)
37,station,8101011,Judendorf-Straßengel,POINT (15.343921 47.118452)
38,station,8101754,Wels Lokalbahn,POINT (14.017383 48.15649)
40,station,8100351,Wien Oper (Kärntner Ring/Lokalbahn),POINT (16.370417 48.202057)
41,station,8101369,Pernitz-Muggendorf,POINT (15.957777 47.895767)
42,station,8101150,Wien Liesing,POINT (16.284274 48.134916)
43,station,8100434,Neusiedl am See,POINT (16.823465 47.955644)
44,station,8100453,Neusiedl am See Bad,POINT (16.844392 47.942853)
45,station,8101100,Klaus in Vorarlberg,POINT (9.624274 47.308942)
46,station,8100119,Rankweil,POINT (9.637254 47.273021)
47,station,8100516,Wiener Neustadt Hbf,POINT (16.233188 47.810558)
48,station,8101789,Wiener Neustadt Civitas Nova,POINT (16.25541 47.83358)
49,station,8101791,Wiener Neustadt Nord,POINT (16.238815 47.834883)
50,station,8100177,Fürstenfeld,POINT (16.084021 47.041549)
52,station,8100067,Bludenz,POINT (9.814567 47.154723)
53,station,8100199,Schwarzenau im Waldviertel,POINT (15.267369 48.746632)
54,station,8100534,Stockerau,POINT (16.213403 48.382254)
55,station,8101044,Kitzbühel Hahnenkamm,POINT (12.389859 47.443385)
56,station,8100210,Allentsteig,POINT (15.329826 48.715934)
57,station,8101038,Kematen in Tirol,POINT (11.276545 47.261192)
58,station,8100170,Kirchdorf/Krems,POINT (14.116247 47.906437)
59,station,8179206,Roppen Innbrücke,POINT (10.823156 47.224039)
60,station,8179205,Roppen Trankhütte,POINT (10.814293 47.22101)
61,station,8100419,Möllbrücke-Sachsenburg,POINT (13.368173 46.830761)
62,station,8100002,Salzburg Hbf,POINT (13.045514 47.813848)
63,station,8102045,Salzburg Taxham Europark,POINT (13.010007 47.816249)
64,station,8101716,Viechtwang,POINT (13.971376 47.915678)
65,station,8101135,Lenzing Ort,POINT (13.606873 47.971879)
66,station,8101141,Lenzing,POINT (13.613417 47.98307)
67,station,8101975,Pernitz Raimundviertel,POINT (15.945686 47.891776)
68,station,8101478,Siebenmühlen-Rosenau,POINT (13.605857 47.959914)
69,station,8100226,Ebreichsdorf,POINT (16.408783 47.9612)
71,station,8100231,Eisenstadt,POINT (16.52941 47.839279)
74,station,8100432,St.Andrä-Wördern,POINT (16.209097 48.33391)
75,station,8100245,Gänserndorf,POINT (16.732943 48.340347)
76,station,8100041,Golling-Abtenau,POINT (13.164082 47.600579)
77,station,8101415,Raasdorf,POINT (16.582347 48.239047)
78,station,8101239,Maria Saal,POINT (14.33944 46.682916)
79,station,8101837,Grünbach am Schneeberg Schule,POINT (15.981418 47.801398)
83,station,8100277,Horn NÖ,POINT (15.67352 48.665837)
85,station,8100976,Haslach/Mühl,POINT (14.030903 48.554452)
87,station,8100215,Antiesenhofen,POINT (13.402116 48.347403)
88,station,8101338,Paudorf,POINT (15.615773 48.351682)
89,station,8100010,Steyr,POINT (14.423417 48.038462)
90,station,8100020,Steindorf bei Straßwalchen,POINT (13.239025 47.966728)
91,station,8100439,Obereggendorf,POINT (16.296616 47.849589)
93,station,8174070,Oberndorf in Tirol Ort,POINT (12.384762 47.499046)
94,station,8101990,St.Pölten Traisenpark,POINT (15.641311 48.220592)
95,station,8101374,St.Pölten Alpenbahnhof-Kaiserwald (Traisentalbahn),POINT (15.613822 48.199135)
96,station,8101598,St.Stefan-Vorderberg,POINT (13.533683 46.600323)
97,station,8100445,Waidhofen/Ybbs Bahnhof,POINT (14.76534 47.968121)
98,station,8100355,Wieselburg an der Erlauf,POINT (15.142033 48.131824)
99,station,8101110,Lacken im Mühlkreis,POINT (14.091355 48.386174)
100,station,8100013,Linz Hbf,POINT (14.292129 48.290178)
105,station,8100123,Lustenau,POINT (9.667116 47.450343)
106,station,8100409,Mattighofen,POINT (13.152315 48.108749)
107,station,8101191,Langenzersdorf,POINT (16.355891 48.306502)
108,station,8100060,Telfs-Pfaffenhofen,POINT (11.078872 47.300708)
109,station,8100678,Ried im Innkreis Bad,POINT (13.477626 48.21234)
110,station,8100092,Spittal-Millstättersee,POINT (13.487415 46.795703)
111,station,8101204,Marchtrenk,POINT (14.100021 48.201355)
112,station,8101081,Kröllendorf,POINT (14.789008 48.042678)
113,station,8100172,Hinterstoder,POINT (14.178964 47.774646)
114,station,8100202,Absdorf-Hippersdorf,POINT (15.985877 48.402093)
115,station,8101661,Ternitz,POINT (16.033421 47.71378)
116,station,8100813,Furth-Palt,POINT (15.606182 48.384457)
117,station,8101553,Wien Simmering,POINT (16.419517 48.170145)
118,station,8100469,Retz,POINT (15.95704 48.753527)
122,station,8100538,Bad Deutsch Altenburg,POINT (16.910822 48.132858)
123,station,8100410,Mauerkirchen,POINT (13.128871 48.191701)
125,station,8103490,Graz Don Bosco (Bahnsteige 1-2),POINT (15.419107 47.058449)
126,station,8100044,Schwarzach-St.Veit,POINT (13.154464 47.318534)
127,station,8101202,Mandling/Enns,POINT (13.56928 47.403994)
128,station,8101013,Wien Jedlersdorf,POINT (16.395965 48.273997)
129,station,8100156,Kleinreifling,POINT (14.642205 47.824168)
130,station,8101050,Klamm-Schottwien,POINT (15.874348 47.665221)
132,station,8100422,Schützen am Gebirge,POINT (16.618825 47.848034)
133,station,8100135,Gröbming,POINT (13.901359 47.426953)
137,station,8100033,Frohnleiten,POINT (15.326959 47.266324)
138,station,8101774,Wildon,POINT (15.519939 46.885245)
139,station,8100653,Bad Fischau-Brunn,POINT (16.17332 47.826685)
140,station,8100466,Marchegg,POINT (16.918706 48.24925)
141,station,8101153,Lilienfeld,POINT (15.593066 48.013742)
142,station,8101605,Lilienfeld Krankenhaus,POINT (15.578522 48.009013)
143,station,8101409,Puchenau West,POINT (14.222742 48.312462)
144,station,8100593,Werndorf,POINT (15.476989 46.916365)
145,station,8100055,Kitzbühel,POINT (12.391046 47.454109)
146,station,8101593,Kitzbühel Schwarzsee,POINT (12.370523 47.453435)
147,station,8101346,Perchtoldsdorf,POINT (16.285514 48.122987)
148,station,8100623,Ardning,POINT (14.358964 47.590637)
149,station,8100014,Wels Hbf,POINT (14.02657 48.166082)
151,station,8100097,Bad Hofgastein,POINT (13.100942 47.195714)
152,station,8100121,Hohenems,POINT (9.681005 47.364711)
153,station,8178006,Heiterwang Gh Post,POINT (10.743188 47.447933)
154,station,8100861,Gödersdorf,POINT (13.847065 46.568438)
155,station,8101514,Stadt Haag,POINT (14.565779 48.115679)
156,station,8100143,Dölsach,POINT (12.833603 46.814841)
160,station,8100236,Floridsdorf,POINT (16.400019 48.256387)
161,station,8102105,Hall in Tirol-Thaur,POINT (11.474452 47.277102)
163,station,8101686,Trattenbach/Enns,POINT (14.355063 47.930088)
166,station,8100090,Bregenz,POINT (9.739623 47.503001)
168,station,8101781,Winzendorf,POINT (16.11142 47.810837)
169,station,8100283,Kammer-Schörfling,POINT (13.595771 47.948093)
170,station,8101473,Wien Quartier Belvedere,POINT (16.381978 48.188042)
171,station,8100064,St. Anton am Arlberg,POINT (10.266994 47.127567)
